iter	Passed	Remaining
885	5764	741
886	5770	735
887	5777	728
888	5783	722
889	5790	715
890	5796	709
891	5803	702
892	5810	696
893	5816	689
894	5823	683
895	5829	676
896	5836	670
897	5842	663
898	5849	657
899	5855	650
900	5861	644
901	5867	637
902	5873	630
903	5880	624
904	5886	617
905	5892	611
906	5898	604
907	5904	598
908	5910	591
909	5915	585
910	5921	578
911	5927	571
912	5934	565
913	5940	558
914	5946	552
915	5952	545
916	5957	539
917	5963	532
918	5969	526
919	5975	519
920	5982	513
921	5988	506
922	5995	500
923	6001	493
924	6007	487
925	6014	480
926	6021	474
927	6027	467
928	6033	461
929	6040	454
930	6046	448
931	6053	441
932	6059	435
933	6065	428
934	6072	422
935	6078	415
936	6084	409
937	6090	402
938	6097	396
939	6103	389
940	6109	383
941	6115	376
942	6121	370
943	6127	363
944	6133	356
945	6140	350
946	6146	343
947	6152	337
948	6157	330
949	6163	324
950	6169	317
951	6176	311
952	6182	304
953	6188	298
954	6193	291
955	6200	285
956	6206	278
957	6212	272
958	6219	265
959	6226	259
960	6232	252
961	6239	246
962	6246	239
963	6252	233
964	6258	227
965	6264	220
966	6271	214
967	6277	207
968	6284	201
969	6290	194
970	6297	188
971	6304	181
972	6310	175
973	6317	168
974	6323	162
975	6329	155
976	6336	149
977	6342	142
978	6349	136
979	6355	129
980	6363	123
981	6369	116
982	6375	110
983	6381	103
984	6387	97
985	6393	90
986	6400	84
987	6406	77
988	6412	71
989	6419	64
990	6425	58
991	6431	51
992	6437	45
993	6444	38
994	6450	32
995	6456	25
996	6462	19
997	6468	12
998	6474	6
999	6481	0
