,cfr,nombre,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte,Edad_buque,cluster
20875,ESP000051932,AMPARO,4.5,0.28,Madera,9.118666666666666,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20876,ESP000051933,MARIVI,4.0,0.33,Madera,5.786,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20877,ESP000051934,MARIA DEL CARMEN,3.274,0.16,Madera,5.196666666666666,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,9,10
20878,ESP000051935,JOSEFA,3.54,0.27,Madera,6.717333333333332,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20879,ESP000051936,CARMIÑA,4.8,0.68,Madera,8.187333333333333,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,13,10
20880,ESP000051937,MARY CARMEN,4.56,0.27,Madera,7.551333333333334,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,15,0
20881,ESP000051938,SUSA I,3.6786666666666665,0.25,Madera,4.559333333333333,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,11,10
20882,ESP000051939,MARUJA,3.429333333333333,0.24,Madera,6.226000000000001,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,6,10
20883,ESP000051940,PILAR,3.6,0.34,Madera,4.952,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20884,ESP000051941,MARIA DEL CARMEN,3.5,0.32,Madera,3.68,Alta Definitiva,La Coruña,A Coruña,Galicia,Artes menores,36,7
20885,ESP000051942,CARMEN,4.0,0.38,Madera,9.364666666666665,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20886,ESP000051943,FINA,4.1,0.43,Madera,2.94,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20887,ESP000051944,MARIA LUISA,3.681333333333334,0.28,Madera,7.795333333333335,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,10,10
20888,ESP000051945,MARIA LUISA,4.5,0.43,Madera,2.94,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20889,ESP000051946,SARITA,4.0,0.35,Madera,2.94,Baja Definitiva,La Coruña,A Coruña,Galicia,Artes menores,19,0
20890,ESP000051947,AGUSTINA,4.32,0.6,Poliester,10.29,Alta Definitiva,La Coruña,A Coruña,Galicia,Artes menores,36,3
20891,ESP000051948,JOSE,3.0,0.26,Madera,6.032000000000001,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20892,ESP000051949,LINO SEGUNDO,4.1,0.45,Madera,3.68,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20893,ESP000051950,MARCOS,4.7,0.75,Madera,9.162666666666668,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,17,0
20894,ESP000051951,MARIA BELEN,4.02,0.44,Madera,5.198,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,14,0
20895,ESP000051952,MARIA CELESTE,4.8,0.6,Madera,7.843999999999998,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20896,ESP000051953,MARIA ELDA,4.45,0.73,Madera,7.355333333333335,Baja Definitiva,El Grove,Pontevedra,Galicia,Artes menores,35,7
20897,ESP000051954,MANRIQUE,4.2,0.43,Madera,3.68,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20898,ESP000051955,MARY JULIA,4.6,0.54,Madera,6.423333333333335,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20899,ESP000051956,MIGUEL,4.65,0.72,Madera,11.424,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20900,ESP000051957,MOLY,3.8,0.43,Madera,5.88,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20901,ESP000051958,MONICA,4.25,0.48,Madera,11.03,Baja Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,5,10
20902,ESP000051959,MONTAÑA,5.45,1.0719999999999998,Madera,15.001333333333331,Baja Definitiva,Bayona,Pontevedra,Galicia,Desconocido,4,8
20903,ESP000051960,MUSICO,4.7,0.73,Poliester,18.39,Baja Definitiva,El Grove,Pontevedra,Galicia,Artes menores,17,9
20904,ESP000051961,NIEVES,4.25,0.51,Madera,2.94,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20905,ESP000051962,OLI,4.95,0.78,Madera,11.031333333333334,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20906,ESP000051963,PATOS,4.2,0.52,Madera,5.88,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,6,10
20907,ESP000051964,PAZ,4.8,0.71,Madera,3.68,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20908,ESP000051965,PILAR,4.1,0.53,Madera,5.15,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,8,10
20909,ESP000051966,ROMPEOLAS,4.5,0.56,Madera,5.88,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,11,10
20910,ESP000051967,ROSARIO,5.05,1.01,Poliester,14.71,Alta Definitiva,La Guardia,Pontevedra,Galicia,Artes menores,36,3
20911,ESP000051968,NUEVO PACHAN,5.32,1.09,Poliester,22.06,Baja Definitiva,Bayona,Pontevedra,Galicia,Artes menores,34,3
20912,ESP000051969,PEPA,5.6,0.7,Madera,8.83,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,14,0
20913,ESP000051970,REX,4.279333333333333,0.4,Madera,3.68,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,9,10
20914,ESP000051971,BRASILEIRO,6.3,1.46,Madera,4.41,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,9,10
20915,ESP000051972,CUACO,6.0,1.33,Madera,6.62,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,17,0
20916,ESP000051973,MARIA ELENA,5.16,0.45,Madera,8.83,Baja Definitiva,Puerto del Son,A Coruña,Galicia,Artes menores,15,0
20917,ESP000051974,XA,6.0,0.77,Madera,3.68,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,9,10
20918,ESP000051975,INSUA MARTINEZ,5.066666666666666,0.63,Madera,2.94,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,11,10
20919,ESP000051976,M P,6.32,0.85,Madera,8.83,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,17,0
20920,ESP000051977,BONI BONI,5.96,1.33,Poliester,22.06,Alta Definitiva,Noia,A Coruña,Galicia,Artes menores,36,3
20921,ESP000051978,ARGENTINA,7.1,1.55,Madera,5.88,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,13,10
20922,ESP000051979,DIMAS,5.86,0.76,Madera,8.09,Alta Definitiva,Noia,A Coruña,Galicia,Artes menores,36,7
20923,ESP000051980,CANDIDA,6.006666666666667,1.86,Madera,7.35,Baja Definitiva,Noia,A Coruña,Galicia,Artes menores,10,10
20924,ESP000051981,PEREGRINA,4.0,0.35,Madera,5.148666666666666,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,30,7
20925,ESP000051982,CARMIÑA,3.4,0.6020000000000001,Madera,3.68,Baja Definitiva,Bueu,Pontevedra,Galicia,Desconocido,3,8
20926,ESP000051984,ANA MARIA,3.4,0.34,Madera,6.962666666666666,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20927,ESP000051985,UDRA,3.65,0.29,Madera,4.41,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20928,ESP000051986,CELI,4.63,0.63,Madera,29.42,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20929,ESP000051987,MARIA DEL CARMEN,3.45,0.28,Madera,7.208666666666667,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20930,ESP000051988,COBRA,4.4,0.69,Poliester,22.06,Baja Definitiva,Cangas,Pontevedra,Galicia,Artes menores,33,3
20931,ESP000051990,FINITA II,4.18,0.42,Madera,18.39,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,18,0
20932,ESP000051991,MARI FE,4.92,0.79,Poliester,18.38,Alta Definitiva,Bueu,Pontevedra,Galicia,Artes menores,36,3
20933,ESP000051992,ELOY,3.7,0.36,Madera,8.137333333333332,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20934,ESP000051993,GALERNA,4.1,0.44,Madera,5.736000000000001,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,19,0
20935,ESP000051994,CHARO,5.36,1.24,Poliester,22.06,Baja Provisional,Bueu,Pontevedra,Galicia,Artes menores,36,3
20936,ESP000051995,FRAN,4.25,0.46,Madera,18.39,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,16,0
20937,ESP000051996,ANA,3.6,0.3,Madera,18.39,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,14,0
20938,ESP000051997,BENITA,3.6,0.23,Madera,7.942666666666667,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20939,ESP000051998,MARIA,4.75,0.76,Madera,2.94,Baja Definitiva,El Grove,Pontevedra,Galicia,Artes menores,17,0
20940,ESP000051999,AGUSTIN,4.98,1.01,Madera,14.217333333333334,Baja Definitiva,Aldan-Hio,Pontevedra,Galicia,Artes menores,29,7
20941,ESP000052000,ANGELA,5.5,0.68,Madera,10.886,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,19,0
20942,ESP000052001,MARIA ROSA,4.06,0.45,Madera,10.098666666666666,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,7,10
20943,ESP000052002,SOL DE ORO,3.6,0.35,Madera,5.589333333333333,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,11,10
20944,ESP000052003,JUDIT,3.65,0.3466666666666667,Madera,7.598,Baja Definitiva,Bueu,Pontevedra,Galicia,Desconocido,3,8
20945,ESP000052004,LOURDITAS,4.08,0.41,Madera,4.363333333333333,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,19,0
20946,ESP000052005,LOLA,4.13,0.38,Madera,1.47,Baja Definitiva,Bueu,Pontevedra,Galicia,Artes menores,20,0
20947,ESP000052006,MARINA,4.15,0.33,Madera,6.521333333333333,Baja Definitiva,Marin,Pontevedra,Galicia,Artes menores,19,0
