cfr,nombre,fc_alta_rgfp,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,fc_estado,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte
ESP000007660,INOCENCIO,1989-05-10,4.95,0.71,Madera,8.83,Baja Definitiva,1996-09-27,Ortiguera,Asturias,Asturias,Artes menores
ESP000007661,MADRE AMERICA,1989-05-10,6.4,1.53,Madera,21.33,Baja Definitiva,2007-11-27,Ortiguera,Asturias,Asturias,Artes menores
ESP000007662,URCA,1989-05-10,6.5,1.51,Madera,7.35,Baja Definitiva,1995-06-22,Santa Marta de Ortigueira,A Coruña,Galicia,Artes menores
ESP000007663,HIDRA,1989-05-10,5.18,0.71,Madera,4.41,Baja Definitiva,2014-01-28,Ortiguera,Asturias,Asturias,Artes menores
ESP000007665,NELLY,1989-05-10,5.0,0.81,Madera,5.88,Baja Definitiva,2003-12-04,Figueras,Asturias,Asturias,Artes menores
ESP000007668,CENTOLLO,1989-05-10,5.7,0.96,Madera,11.77,Baja Definitiva,2014-01-17,Figueras,Asturias,Asturias,Artes menores
ESP000007670,LEONARDO DA VINCI,1989-05-10,8.53,2.87,-,35.3,Baja Definitiva,2003-11-20,Figueras,Asturias,Asturias,Artes menores
ESP000007672,MARIA AGUSTINA,1989-05-10,5.04,1.0946666666666667,Madera,7.35,Baja Definitiva,1994-03-16,Figueras,Asturias,Asturias,Desconocido
ESP000007673,TRINIDAD,1989-05-10,6.52,1.79,Madera,8.83,Baja Definitiva,1996-10-08,Figueras,Asturias,Asturias,Artes menores
ESP000007675,RIBERAS DEL EO,1989-05-10,22.2,72.92533333333334,Madera,264.78,Baja Definitiva,1992-08-19,Figueras,Asturias,Asturias,Artes fijas
ESP000007676,COPPI,1989-05-10,16.69533333333333,52.14,Madera,169.16,Baja Definitiva,1995-04-27,Burela,Lugo,Galicia,Artes fijas
ESP000007677,ESFER,1989-05-10,6.8,3.86,Madera,29.42,Baja Definitiva,1990-06-30,Luarca,Asturias,Asturias,Artes fijas
ESP000007678,MARIA DEL CORO,1989-05-10,10.7,6.5953333333333335,Madera,44.13,Baja Definitiva,1993-04-27,Bayona,Pontevedra,Galicia,Artes fijas
ESP000007680,CAMINO DEL MAR,1989-05-10,15.2,27.88,Madera,94.14,Baja Definitiva,1999-03-15,Burela,Lugo,Galicia,Palangre
ESP000007681,GAYOL GARCIA,1989-05-10,6.08,1.47,Madera,32.36,Baja Definitiva,2011-11-22,Cudillero,Asturias,Asturias,Artes menores
ESP000007682,MAR DE PLATA SEGUNDA,1989-05-10,10.9,11.77,Madera,55.9,Baja Definitiva,1997-10-29,Luarca,Asturias,Asturias,Artes fijas
ESP000007683,PILAR LOPEZ,1989-05-10,5.3,0.84,Madera,5.88,Baja Definitiva,1998-02-13,Luarca,Asturias,Asturias,Artes menores
ESP000007684,LA CHUAR,1989-05-10,7.48,1.89,Madera,32.36,Baja Definitiva,2003-11-20,Luarca,Asturias,Asturias,Artes menores
ESP000007685,ELENA DE PICOS,1989-05-10,8.5,3.49,Madera,58.84,Baja Definitiva,2009-01-21,Luarca,Asturias,Asturias,Artes menores
ESP000007687,ASTARLOA,1989-05-10,14.1,29.56,Madera,94.14,Baja Definitiva,2000-01-13,Carboneras,Almería,Andalucía,Palangre
ESP000007688,MARIA LILIAN,1989-05-10,6.8,6.982,Madera,66.19,Baja Definitiva,1991-12-31,Santander,Cantabria,Cantabria,Palangre
ESP000007689,FLAMENCA,1989-05-10,11.65,10.851333333333333,Madera,66.19,Baja Definitiva,1992-06-26,Luarca,Asturias,Asturias,Artes fijas
ESP000007690,HERCRIS,1989-05-10,7.5,2.231333333333333,Madera,13.24,Baja Definitiva,1992-08-19,Luarca,Asturias,Asturias,Artes fijas
ESP000007691,CINCO HERMANAS,1989-05-10,9.149999999999999,6.6226666666666665,Madera,44.13,Baja Definitiva,1993-01-22,Luarca,Asturias,Asturias,Artes fijas
ESP000007694,CARMEN ESTELA,1989-05-10,16.95,38.56000000000001,Madera,169.16,Baja Definitiva,1991-05-03,Luarca,Asturias,Asturias,Artes fijas
ESP000007695,GAYOLIN,1989-05-10,5.93,1.61,Madera,21.33,Baja Definitiva,2001-02-07,Ribadeo,Lugo,Galicia,Artes menores
ESP000007696,JOSE PEDRO,1989-05-10,6.75,1.99,Madera,9.56,Baja Definitiva,1997-10-20,Luarca,Asturias,Asturias,Artes menores
ESP000007698,BRISAS DEL RIO NEGRO,1989-05-10,14.7,21.33,Madera,95.61,Baja Definitiva,2000-03-29,Santa Eugenia de Riveira,A Coruña,Galicia,Palangre
